date,atm_id,opening_balance,withdrawals,deposits,closing_balance,replenished,replenishment_amount,cash_utilization_rate,predicted_runout_days
2025-05-03,ATM-00001,9000000,2684291,0,6315709,False,0,36,2
2025-05-04,ATM-00001,6315709,1968093,0,4347616,False,0,56,2
2025-05-05,ATM-00001,4347616,2173211,0,2174405,False,0,78,1
2025-05-06,ATM-00001,2174405,1406407,0,8557858,True,7789860,14,6
2025-05-07,ATM-00001,8557858,2068068,0,6489790,False,0,35,3
2025-05-08,ATM-00001,6489790,1315434,0,5174356,False,0,48,3
2025-05-09,ATM-00001,5174356,1047050,0,4127306,False,0,58,3
2025-05-10,ATM-00001,4127306,895943,0,3231363,False,0,67,3
2025-05-11,ATM-00001,3231363,2387430,0,9403117,True,8559184,5,3
2025-05-12,ATM-00001,9403117,2822626,0,6580491,False,0,34,2
2025-05-13,ATM-00001,6580491,2280810,0,4299681,False,0,57,1
2025-05-14,ATM-00001,4299681,844431,0,3455250,False,0,65,4
2025-05-15,ATM-00001,3455250,2498165,0,8636363,True,7679277,13,3
2025-05-16,ATM-00001,8636363,1851508,0,6784855,False,0,32,3
2025-05-17,ATM-00001,6784855,2262973,0,4521882,False,0,54,1
2025-05-18,ATM-00001,4521882,1158304,0,3363578,False,0,66,2
2025-05-19,ATM-00001,3363578,2518917,0,8558777,True,7714116,14,3
2025-05-20,ATM-00001,8558777,1397266,0,7161511,False,0,28,5
2025-05-21,ATM-00001,7161511,815878,0,6345633,False,0,36,7
2025-05-22,ATM-00001,6345633,1429029,0,4916604,False,0,50,3
2025-05-23,ATM-00001,4916604,2390493,0,2526111,False,0,74,1
2025-05-24,ATM-00001,2526111,2256095,0,8989281,True,8719265,10,3
2025-05-25,ATM-00001,8989281,2646357,0,6342924,False,0,36,2
2025-05-26,ATM-00001,6342924,1375327,0,4967597,False,0,50,3
2025-05-27,ATM-00001,4967597,1454635,0,3512962,False,0,64,2
2025-05-28,ATM-00001,3512962,2561301,0,8765682,True,7814020,12,3
2025-05-29,ATM-00001,8765682,2286362,0,6479320,False,0,35,2
2025-05-30,ATM-00001,6479320,2484867,0,3994453,False,0,60,1
2025-05-31,ATM-00001,3994453,1926786,0,2067667,False,0,79,1
2025-06-01,ATM-00001,2067667,1099305,0,9474773,True,8506410,5,8
2025-06-02,ATM-00001,9474773,2097240,0,7377533,False,0,26,3
2025-06-03,ATM-00001,7377533,1616570,0,5760963,False,0,42,3
2025-06-04,ATM-00001,5760963,1578466,0,4182497,False,0,58,2
2025-06-05,ATM-00001,4182497,1015036,0,3167461,False,0,68,3
2025-06-06,ATM-00001,3167461,2582661,0,9240853,True,8656052,7,3
2025-06-07,ATM-00001,9240853,2405185,0,6835668,False,0,31,2
2025-06-08,ATM-00001,6835668,1782168,0,5053500,False,0,49,2
2025-06-09,ATM-00001,5053500,2521544,0,2531956,False,0,74,1
2025-06-10,ATM-00001,2531956,885432,0,9301883,True,7655358,6,10
2025-06-11,ATM-00001,9301883,1715968,0,7585915,False,0,24,4
2025-06-12,ATM-00001,7585915,2015396,0,5570519,False,0,44,2
2025-06-13,ATM-00001,5570519,2659005,0,2911514,False,0,70,1
2025-06-14,ATM-00001,2911514,824129,0,2087385,False,0,79,2
2025-06-15,ATM-00001,2087385,932445,0,9085064,True,7930124,9,9
2025-06-16,ATM-00001,9085064,2354588,0,6730476,False,0,32,2
2025-06-17,ATM-00001,6730476,1881210,0,4849266,False,0,51,2
2025-06-18,ATM-00001,4849266,907110,0,3942156,False,0,60,4
2025-06-19,ATM-00001,3942156,1210937,0,2731219,False,0,72,2
2025-06-20,ATM-00001,2731219,1833294,0,9482206,True,8584280,5,5
2025-06-21,ATM-00001,9482206,1421243,0,8060963,False,0,19,5
2025-06-22,ATM-00001,8060963,1150186,0,6910777,False,0,30,6
2025-06-23,ATM-00001,6910777,2644616,0,4266161,False,0,57,1
2025-06-24,ATM-00001,4266161,2637040,0,9197806,True,7568684,8,3
2025-06-25,ATM-00001,9197806,2569115,0,6628691,False,0,33,2
2025-06-26,ATM-00001,6628691,2825559,0,3803132,False,0,61,1
