event_id,atm_id,issue_type,error_code,description,severity,reported_at,resolved_at,resolution_time_minutes,engineer_id,parts_replaced,cost_naira,preventive
MAINT-1761807491-2817,ATM-00009,printer,20014,Printer jam,medium,2025-10-30T07:58:11.156876,2025-10-30T08:17:11.156876,19,ENG-028,"[""Receipt printer""]",34013,False
MAINT-1761807491-2477,ATM-00014,cash_dispenser,C0047,Cassette misfeed,high,2025-10-30T07:58:11.156876,2025-10-30T08:32:11.156876,34,ENG-018,[],232517,False
MAINT-1761807491-8304,ATM-00019,cash_dispenser,20001,Unable to load cassette,medium,2025-10-30T07:58:11.156876,2025-10-30T08:51:11.156876,53,ENG-020,[],102118,True
MAINT-1761807491-6143,ATM-00026,printer,20013,Receipt paper empty,medium,2025-10-30T07:58:11.156876,2025-10-30T08:17:11.156876,19,ENG-019,"[""Card reader""]",132951,False
MAINT-1761807491-7435,ATM-00029,card_reader,90001,Card reader malfunction,high,2025-10-30T07:58:11.156876,2025-10-30T09:14:11.156876,76,ENG-018,[],244826,False
MAINT-1761807491-4417,ATM-00053,cash_dispenser,C0047,Cassette misfeed,high,2025-10-30T07:58:11.156876,2025-10-30T08:40:11.156876,42,ENG-022,"[""Receipt printer""]",233248,False
MAINT-1761807491-1406,ATM-00075,cash_dispenser,C0047,Cassette misfeed,high,2025-10-30T07:58:11.156876,2025-10-30T08:40:11.156876,42,ENG-001,"[""Cash cassette""]",106470,False
MAINT-1761807491-9077,ATM-00085,cash_dispenser,20001,Unable to load cassette,medium,2025-10-30T07:58:11.156876,2025-10-30T08:18:11.156876,20,ENG-022,"[""Card reader""]",128964,True
MAINT-1761807491-6384,ATM-00092,cash_dispenser,C0047,Cassette misfeed,high,2025-10-30T07:58:11.156876,2025-10-30T08:43:11.156876,45,ENG-018,"[""Receipt printer""]",50595,True
MAINT-1761807491-3966,ATM-00097,cash_dispenser,20002,Low cash warning,low,2025-10-30T07:58:11.156876,2025-10-30T10:12:11.156876,134,ENG-013,[],162488,False
MAINT-1761721091-2354,ATM-00005,cash_dispenser,C0047,Cassette misfeed,high,2025-10-29T07:58:11.156876,2025-10-29T08:38:11.156876,40,ENG-016,"[""Card reader""]",220619,False
MAINT-1761721091-6860,ATM-00013,cash_dispenser,C0047,Cassette misfeed,high,2025-10-29T07:58:11.156876,2025-10-29T08:32:11.156876,34,ENG-030,"[""Receipt printer""]",221278,False
MAINT-1761721091-5067,ATM-00014,cash_dispenser,C0047,Cassette misfeed,high,2025-10-29T07:58:11.156876,2025-10-29T08:44:11.156876,46,ENG-010,[],191605,True
MAINT-1761721091-4450,ATM-00015,cash_dispenser,20002,Low cash warning,low,2025-10-29T07:58:11.156876,2025-10-29T09:48:11.156876,110,ENG-006,[],40048,False
MAINT-1761721091-8310,ATM-00027,cash_dispenser,20001,Unable to load cassette,medium,2025-10-29T07:58:11.156876,2025-10-29T08:38:11.156876,40,ENG-021,[],157717,False
MAINT-1761721091-5888,ATM-00034,card_reader,90001,Card reader malfunction,high,2025-10-29T07:58:11.156876,2025-10-29T09:10:11.156876,72,ENG-019,[],100256,False
MAINT-1761721091-1183,ATM-00061,cash_dispenser,20001,Unable to load cassette,medium,2025-10-29T07:58:11.156876,2025-10-29T08:38:11.156876,40,ENG-012,[],221592,False
MAINT-1761721091-1275,ATM-00065,printer,20014,Printer jam,medium,2025-10-29T07:58:11.156876,2025-10-29T08:14:11.156876,16,ENG-016,[],200640,False
MAINT-1761721091-2094,ATM-00071,printer,20014,Printer jam,medium,2025-10-29T07:58:11.156876,2025-10-29T08:46:11.156876,48,ENG-025,"[""Cash cassette""]",119144,True
MAINT-1761721091-5416,ATM-00075,network,D1500,Connection timeout,high,2025-10-29T07:58:11.156876,2025-10-29T09:58:11.156876,120,ENG-019,[],80350,False
MAINT-1761721091-5637,ATM-00076,printer,20013,Receipt paper empty,medium,2025-10-29T07:58:11.156876,2025-10-29T08:38:11.156876,40,ENG-027,"[""Receipt printer""]",158339,False
MAINT-1761721091-9818,ATM-00077,cash_dispenser,20001,Unable to load cassette,medium,2025-10-29T07:58:11.156876,2025-10-29T08:29:11.156876,31,ENG-019,"[""Card reader""]",25965,False
MAINT-1761721091-1451,ATM-00079,card_reader,90001,Card reader malfunction,high,2025-10-29T07:58:11.156876,2025-10-29T09:02:11.156876,64,ENG-022,"[""Cash cassette""]",248172,False
MAINT-1761721091-4585,ATM-00081,printer,20014,Printer jam,medium,2025-10-29T07:58:11.156876,2025-10-29T08:17:11.156876,19,ENG-026,[],101777,True
MAINT-1761721091-9081,ATM-00099,printer,20013,Receipt paper empty,medium,2025-10-29T07:58:11.156876,2025-10-29T08:08:11.156876,10,ENG-006,"[""Cash cassette""]",56960,True
MAINT-1761721091-7975,ATM-00099,cash_dispenser,20001,Unable to load cassette,medium,2025-10-29T07:58:11.156876,2025-10-29T08:14:11.156876,16,ENG-004,"[""Cash cassette""]",21933,False
MAINT-1761634691-3249,ATM-00003,printer,20014,Printer jam,medium,2025-10-28T07:58:11.156876,2025-10-28T08:25:11.156876,27,ENG-004,"[""Card reader""]",77726,False
MAINT-1761634691-1462,ATM-00009,cash_dispenser,20002,Low cash warning,low,2025-10-28T07:58:11.156876,2025-10-28T10:05:11.156876,127,ENG-023,"[""Card reader""]",162746,False
MAINT-1761634691-5444,ATM-00017,network,D1500,Connection timeout,high,2025-10-28T07:58:11.156876,2025-10-28T09:52:11.156876,114,ENG-002,"[""Cash cassette""]",32458,False
MAINT-1761634691-2593,ATM-00019,network,D1500,Connection timeout,high,2025-10-28T07:58:11.156876,2025-10-28T09:42:11.156876,104,ENG-015,[],183930,True
MAINT-1761634691-9085,ATM-00031,cash_dispenser,C0047,Cassette misfeed,high,2025-10-28T07:58:11.156876,2025-10-28T08:41:11.156876,43,ENG-014,"[""Card reader""]",46779,True
MAINT-1761634691-9566,ATM-00031,printer,20013,Receipt paper empty,medium,2025-10-28T07:58:11.156876,2025-10-28T08:01:11.156876,3,ENG-021,"[""Card reader""]",41946,False
MAINT-1761634691-3422,ATM-00033,cash_dispenser,C0047,Cassette misfeed,high,2025-10-28T07:58:11.156876,2025-10-28T09:10:11.156876,72,ENG-009,"[""Card reader""]",53631,False
MAINT-1761634691-9600,ATM-00033,network,D1500,Connection timeout,high,2025-10-28T07:58:11.156876,2025-10-28T09:39:11.156876,101,ENG-014,"[""Card reader""]",127970,False
MAINT-1761634691-7089,ATM-00036,cash_dispenser,C0047,Cassette misfeed,high,2025-10-28T07:58:11.156876,2025-10-28T08:55:11.156876,57,ENG-002,"[""Card reader""]",167464,False
MAINT-1761634691-8703,ATM-00036,printer,20014,Printer jam,medium,2025-10-28T07:58:11.156876,2025-10-28T08:27:11.156876,29,ENG-014,"[""Receipt printer""]",219838,False
MAINT-1761634691-6888,ATM-00042,printer,20014,Printer jam,medium,2025-10-28T07:58:11.156876,2025-10-28T08:35:11.156876,37,ENG-007,"[""Cash cassette""]",114032,False
MAINT-1761634691-4955,ATM-00046,printer,20013,Receipt paper empty,medium,2025-10-28T07:58:11.156876,2025-10-28T08:33:11.156876,35,ENG-023,[],103292,True
MAINT-1761634691-3488,ATM-00064,network,D1500,Connection timeout,high,2025-10-28T07:58:11.156876,2025-10-28T09:54:11.156876,116,ENG-002,[],61549,False
MAINT-1761634691-7219,ATM-00065,cash_dispenser,20001,Unable to load cassette,medium,2025-10-28T07:58:11.156876,2025-10-28T08:29:11.156876,31,ENG-005,[],237753,False
MAINT-1761634691-9020,ATM-00066,network,D1500,Connection timeout,high,2025-10-28T07:58:11.156876,2025-10-28T09:13:11.156876,75,ENG-027,"[""Receipt printer""]",247644,False
MAINT-1761634691-7485,ATM-00077,cash_dispenser,20001,Unable to load cassette,medium,2025-10-28T07:58:11.156876,2025-10-28T08:50:11.156876,52,ENG-023,"[""Receipt printer""]",96688,True
MAINT-1761634691-2498,ATM-00079,card_reader,90001,Card reader malfunction,high,2025-10-28T07:58:11.156876,2025-10-28T08:46:11.156876,48,ENG-004,"[""Cash cassette""]",175017,False
MAINT-1761634691-3902,ATM-00080,cash_dispenser,20002,Low cash warning,low,2025-10-28T07:58:11.156876,2025-10-28T09:48:11.156876,110,ENG-001,"[""Card reader""]",50450,False
MAINT-1761634691-4588,ATM-00082,card_reader,90001,Card reader malfunction,high,2025-10-28T07:58:11.156876,2025-10-28T08:52:11.156876,54,ENG-028,[],202941,False
MAINT-1761548291-9044,ATM-00006,cash_dispenser,20002,Low cash warning,low,2025-10-27T07:58:11.156876,2025-10-27T10:23:11.156876,145,ENG-019,"[""Receipt printer""]",113580,False
MAINT-1761548291-9907,ATM-00006,printer,20014,Printer jam,medium,2025-10-27T07:58:11.156876,2025-10-27T08:34:11.156876,36,ENG-002,"[""Receipt printer""]",198929,True
MAINT-1761548291-9369,ATM-00007,cash_dispenser,20002,Low cash warning,low,2025-10-27T07:58:11.156876,2025-10-27T09:52:11.156876,114,ENG-013,"[""Cash cassette""]",165681,False
MAINT-1761548291-8449,ATM-00007,cash_dispenser,20002,Low cash warning,low,2025-10-27T07:58:11.156876,2025-10-27T10:06:11.156876,128,ENG-016,[],15648,True
MAINT-1761548291-6488,ATM-00009,card_reader,90001,Card reader malfunction,high,2025-10-27T07:58:11.156876,2025-10-27T08:43:11.156876,45,ENG-001,"[""Receipt printer""]",237561,True
MAINT-1761548291-3089,ATM-00029,network,D1500,Connection timeout,high,2025-10-27T07:58:11.156876,2025-10-27T09:17:11.156876,79,ENG-002,"[""Receipt printer""]",29362,False
MAINT-1761548291-6425,ATM-00029,card_reader,90001,Card reader malfunction,high,2025-10-27T07:58:11.156876,2025-10-27T09:12:11.156876,74,ENG-028,"[""Receipt printer""]",176507,False
MAINT-1761548291-9202,ATM-00033,cash_dispenser,20002,Low cash warning,low,2025-10-27T07:58:11.156876,2025-10-27T10:02:11.156876,124,ENG-018,"[""Receipt printer""]",168637,False
MAINT-1761548291-1351,ATM-00053,printer,20014,Printer jam,medium,2025-10-27T07:58:11.156876,2025-10-27T08:35:11.156876,37,ENG-013,"[""Cash cassette""]",178496,True
MAINT-1761548291-5666,ATM-00056,card_reader,90001,Card reader malfunction,high,2025-10-27T07:58:11.156876,2025-10-27T09:08:11.156876,70,ENG-018,[],239266,False
MAINT-1761548291-4960,ATM-00056,cash_dispenser,C0047,Cassette misfeed,high,2025-10-27T07:58:11.156876,2025-10-27T08:32:11.156876,34,ENG-014,"[""Receipt printer""]",208553,False
MAINT-1761548291-5428,ATM-00057,cash_dispenser,C0047,Cassette misfeed,high,2025-10-27T07:58:11.156876,2025-10-27T09:11:11.156876,73,ENG-023,[],111152,True
MAINT-1761548291-4530,ATM-00059,card_reader,90001,Card reader malfunction,high,2025-10-27T07:58:11.156876,2025-10-27T08:52:11.156876,54,ENG-003,[],113939,False
MAINT-1761548291-9904,ATM-00061,printer,20014,Printer jam,medium,2025-10-27T07:58:11.156876,2025-10-27T08:31:11.156876,33,ENG-004,"[""Cash cassette""]",88112,False
MAINT-1761548291-4878,ATM-00078,cash_dispenser,C0047,Cassette misfeed,high,2025-10-27T07:58:11.156876,2025-10-27T09:06:11.156876,68,ENG-005,[],37800,False
MAINT-1761548291-4565,ATM-00084,printer,20014,Printer jam,medium,2025-10-27T07:58:11.156876,2025-10-27T08:15:11.156876,17,ENG-025,[],226320,False
MAINT-1761548291-8634,ATM-00085,cash_dispenser,C0047,Cassette misfeed,high,2025-10-27T07:58:11.156876,2025-10-27T08:51:11.156876,53,ENG-024,[],111470,False
MAINT-1761548291-8008,ATM-00087,card_reader,90001,Card reader malfunction,high,2025-10-27T07:58:11.156876,2025-10-27T08:50:11.156876,52,ENG-026,"[""Cash cassette""]",129698,True
MAINT-1761548291-9848,ATM-00092,cash_dispenser,20002,Low cash warning,low,2025-10-27T07:58:11.156876,2025-10-27T10:05:11.156876,127,ENG-012,[],24713,False
MAINT-1761548291-9817,ATM-00096,card_reader,90001,Card reader malfunction,high,2025-10-27T07:58:11.156876,2025-10-27T08:50:11.156876,52,ENG-028,[],50901,False
MAINT-1761461891-5942,ATM-00008,network,D1500,Connection timeout,high,2025-10-26T07:58:11.156876,2025-10-26T09:14:11.156876,76,ENG-007,"[""Card reader""]",64452,True
MAINT-1761461891-5670,ATM-00011,network,D1500,Connection timeout,high,2025-10-26T07:58:11.156876,2025-10-26T09:18:11.156876,80,ENG-001,[],57705,True
MAINT-1761461891-6416,ATM-00012,cash_dispenser,20001,Unable to load cassette,medium,2025-10-26T07:58:11.156876,2025-10-26T08:43:11.156876,45,ENG-008,[],191064,False
MAINT-1761461891-3196,ATM-00017,cash_dispenser,C0047,Cassette misfeed,high,2025-10-26T07:58:11.156876,2025-10-26T08:58:11.156876,60,ENG-017,"[""Receipt printer""]",201651,False
MAINT-1761461891-2985,ATM-00020,printer,20013,Receipt paper empty,medium,2025-10-26T07:58:11.156876,2025-10-26T08:28:11.156876,30,ENG-019,"[""Receipt printer""]",102409,False
MAINT-1761461891-9005,ATM-00031,cash_dispenser,C0047,Cassette misfeed,high,2025-10-26T07:58:11.156876,2025-10-26T09:06:11.156876,68,ENG-001,[],33216,True
MAINT-1761461891-8899,ATM-00032,card_reader,90001,Card reader malfunction,high,2025-10-26T07:58:11.156876,2025-10-26T09:03:11.156876,65,ENG-003,[],174523,True
MAINT-1761461891-3826,ATM-00034,cash_dispenser,20002,Low cash warning,low,2025-10-26T07:58:11.156876,2025-10-26T10:21:11.156876,143,ENG-021,"[""Card reader""]",223489,False
MAINT-1761461891-3789,ATM-00041,cash_dispenser,20002,Low cash warning,low,2025-10-26T07:58:11.156876,2025-10-26T09:58:11.156876,120,ENG-011,"[""Cash cassette""]",64111,False
MAINT-1761461891-2879,ATM-00043,printer,20014,Printer jam,medium,2025-10-26T07:58:11.156876,2025-10-26T08:20:11.156876,22,ENG-003,[],173280,True
MAINT-1761461891-7705,ATM-00049,cash_dispenser,20001,Unable to load cassette,medium,2025-10-26T07:58:11.156876,2025-10-26T08:45:11.156876,47,ENG-006,"[""Cash cassette""]",96569,False
MAINT-1761461891-7813,ATM-00056,printer,20013,Receipt paper empty,medium,2025-10-26T07:58:11.156876,2025-10-26T07:58:11.156876,0,ENG-027,"[""Receipt printer""]",235891,True
MAINT-1761461891-4699,ATM-00060,printer,20013,Receipt paper empty,medium,2025-10-26T07:58:11.156876,2025-10-26T08:04:11.156876,6,ENG-021,"[""Cash cassette""]",233719,False
MAINT-1761461891-3248,ATM-00062,printer,20013,Receipt paper empty,medium,2025-10-26T07:58:11.156876,2025-10-26T08:35:11.156876,37,ENG-016,[],196252,False
MAINT-1761461891-3606,ATM-00066,cash_dispenser,20001,Unable to load cassette,medium,2025-10-26T07:58:11.156876,2025-10-26T08:17:11.156876,19,ENG-016,[],59924,False
MAINT-1761461891-7931,ATM-00073,network,D1500,Connection timeout,high,2025-10-26T07:58:11.156876,2025-10-26T09:27:11.156876,89,ENG-015,"[""Receipt printer""]",203576,True
MAINT-1761461891-8415,ATM-00079,cash_dispenser,20001,Unable to load cassette,medium,2025-10-26T07:58:11.156876,2025-10-26T08:29:11.156876,31,ENG-008,[],125017,False
MAINT-1761461891-7814,ATM-00087,cash_dispenser,20002,Low cash warning,low,2025-10-26T07:58:11.156876,2025-10-26T10:18:11.156876,140,ENG-026,"[""Card reader""]",28106,False
MAINT-1761461891-1034,ATM-00088,cash_dispenser,C0047,Cassette misfeed,high,2025-10-26T07:58:11.156876,2025-10-26T08:38:11.156876,40,ENG-002,[],66565,True
MAINT-1761461891-4926,ATM-00091,cash_dispenser,C0047,Cassette misfeed,high,2025-10-26T07:58:11.156876,2025-10-26T08:40:11.156876,42,ENG-027,"[""Card reader""]",62767,False
MAINT-1761461891-5028,ATM-00096,printer,20014,Printer jam,medium,2025-10-26T07:58:11.156876,2025-10-26T08:15:11.156876,17,ENG-019,"[""Receipt printer""]",197709,True
MAINT-1761375491-4860,ATM-00010,printer,20014,Printer jam,medium,2025-10-25T07:58:11.156876,2025-10-25T08:38:11.156876,40,ENG-016,[],118495,True
