timestamp,atm_id,cash_level,cash_percentage,uptime_status,network_latency_ms,temperature_c,error_codes,transactions_last_hour,card_reader_health,dispenser_health,printer_health
2025-05-03T07:58:11.525109,ATM-00001,7162158,71,online,137,30.5,"[""D1500""]",10,85,91,97
2025-05-03T08:03:11.525109,ATM-00001,7159288,71,online,42,18.5,[],11,91,87,75
2025-05-03T08:08:11.525109,ATM-00001,7155259,71,online,71,26.5,[],7,89,83,92
2025-05-03T08:13:11.525109,ATM-00001,7150400,71,online,98,20,[],6,100,93,98
2025-05-03T08:18:11.525109,ATM-00001,7146789,71,online,46,23.7,[],10,88,96,90
2025-05-03T08:23:11.525109,ATM-00001,7142508,71,online,52,27.2,[],6,98,87,88
2025-05-03T08:28:11.525109,ATM-00001,7137867,71,online,111,18.3,[],9,90,94,87
2025-05-03T08:33:11.525109,ATM-00001,7135261,71,online,67,24,[],11,85,98,97
2025-05-03T08:38:11.525109,ATM-00001,7132531,71,online,121,19.2,[],8,90,85,92
2025-05-03T08:43:11.525109,ATM-00001,7127576,71,online,20,24.5,[],6,95,98,92
2025-05-03T08:48:11.525109,ATM-00001,7125329,71,online,107,26.7,[],5,98,90,94
2025-05-03T08:53:11.525109,ATM-00001,7120954,71,online,26,25.7,[],11,96,97,75
2025-05-03T08:58:11.525109,ATM-00001,7117555,71,online,38,30.9,"[""20002""]",4,99,83,99
2025-05-03T09:03:11.525109,ATM-00001,7106656,71,online,68,26,"[""20001""]",33,96,92,86
2025-05-03T09:08:11.525109,ATM-00001,7098975,70,online,132,19.1,[],24,98,81,76
2025-05-03T09:13:11.525109,ATM-00001,7088365,70,online,21,28.1,[],23,90,96,89
2025-05-03T09:18:11.525109,ATM-00001,7076332,70,online,138,31.9,[],35,85,84,93
2025-05-03T09:23:11.525109,ATM-00001,7067523,70,offline,46,28.2,[],35,85,82,95
2025-05-03T09:28:11.525109,ATM-00001,7055317,70,online,29,24.9,[],39,85,92,96
2025-05-03T09:33:11.525109,ATM-00001,7044886,70,online,66,20.3,[],28,91,83,95
2025-05-03T09:38:11.525109,ATM-00001,7038048,70,online,30,18.2,"[""90001""]",21,85,84,100
2025-05-03T09:43:11.525109,ATM-00001,7028523,70,online,118,27.1,[],23,99,91,82
2025-05-03T09:48:11.525109,ATM-00001,7016727,70,online,93,31.9,[],25,100,82,100
2025-05-03T09:53:11.525109,ATM-00001,7007034,70,online,114,30.6,[],30,93,81,98
2025-05-03T09:58:11.525109,ATM-00001,6996212,69,online,146,29,[],24,93,91,82
2025-05-03T10:03:11.525109,ATM-00001,6986767,69,online,36,21.9,[],32,98,91,91
2025-05-03T10:08:11.525109,ATM-00001,6977931,69,online,88,25.1,[],32,92,91,95
2025-05-03T10:13:11.525109,ATM-00001,6966579,69,online,126,29.6,[],27,94,96,85
2025-05-03T10:18:11.525109,ATM-00001,6957287,69,online,137,24.6,[],15,94,87,80
2025-05-03T10:23:11.525109,ATM-00001,6946159,69,online,75,27.2,[],24,92,93,94
2025-05-03T10:28:11.525109,ATM-00001,6935809,69,online,28,23,[],40,94,90,100
2025-05-03T10:33:11.525109,ATM-00001,6928491,69,online,28,26.3,[],27,99,85,98
2025-05-03T10:38:11.525109,ATM-00001,6921735,69,online,70,21.9,"[""D1500""]",34,91,98,76
2025-05-03T10:43:11.525109,ATM-00001,6909963,69,online,145,30.7,[],33,95,88,95
2025-05-03T10:48:11.525109,ATM-00001,6899524,68,online,21,21.4,"[""C0047""]",28,89,90,92
2025-05-03T10:53:11.525109,ATM-00001,6889022,68,online,29,27.5,[],35,85,89,85
2025-05-03T10:58:11.525109,ATM-00001,6882102,68,online,44,22.4,[],17,89,94,94
2025-05-03T11:03:11.525109,ATM-00001,6872543,68,online,79,29.5,[],34,95,86,77
2025-05-03T11:08:11.525109,ATM-00001,6864778,68,online,81,27.2,[],23,90,92,86
2025-05-03T11:13:11.525109,ATM-00001,6856094,68,online,87,20.1,[],36,97,85,100
2025-05-03T11:18:11.525109,ATM-00001,6845671,68,online,33,25.3,[],31,91,97,97
2025-05-03T11:23:11.525109,ATM-00001,6835180,68,online,107,31.4,[],39,98,81,100
2025-05-03T11:28:11.525109,ATM-00001,6827631,68,online,102,19.3,[],24,96,91,85
2025-05-03T11:33:11.525109,ATM-00001,6818562,68,online,28,30.9,[],30,90,97,78
2025-05-03T11:38:11.525109,ATM-00001,6807355,68,online,83,24.2,[],19,87,90,90
2025-05-03T11:43:11.525109,ATM-00001,6796597,67,online,62,28.7,[],18,90,93,75
