transaction_id,atm_id,timestamp,type,amount_naira,success,duration_seconds,card_type,peak_hour
TXN-1746235379-67806,ATM-00001,2025-05-03T02:22:59.914566,withdrawal,5000,TRUE,104,Visa,FALSE
TXN-1746269879-58759,ATM-00001,2025-05-03T11:57:59.914566,withdrawal,100000,TRUE,73,Mastercard,TRUE
TXN-1746272219-47628,ATM-00001,2025-05-03T12:36:59.914566,withdrawal,10000,TRUE,51,Mastercard,FALSE
TXN-1746309599-22291,ATM-00001,2025-05-03T22:59:59.914566,withdrawal,10000,TRUE,44,Verve,FALSE
TXN-1746290879-69582,ATM-00001,2025-05-03T17:47:59.914566,withdrawal,20000,TRUE,103,Mastercard,TRUE
TXN-1746241379-49668,ATM-00001,2025-05-03T04:02:59.914566,balance_inquiry,0,TRUE,38,Verve,FALSE
TXN-1746311639-33318,ATM-00001,2025-05-03T23:33:59.914566,withdrawal,20000,TRUE,103,Verve,FALSE
TXN-1746248939-41688,ATM-00001,2025-05-03T06:08:59.914566,withdrawal,10000,TRUE,34,Verve,FALSE
TXN-1746232619-89029,ATM-00001,2025-05-03T01:36:59.914566,withdrawal,10000,TRUE,92,Verve,FALSE
TXN-1746288419-82331,ATM-00001,2025-05-03T17:06:59.914566,withdrawal,5000,TRUE,48,Visa,TRUE
TXN-1746288059-83018,ATM-00001,2025-05-03T17:00:59.914566,withdrawal,50000,TRUE,21,Verve,TRUE
TXN-1746268919-96058,ATM-00001,2025-05-03T11:41:59.914566,balance_inquiry,0,TRUE,53,Mastercard,TRUE
TXN-1746268199-43800,ATM-00001,2025-05-03T11:29:59.914566,withdrawal,5000,TRUE,102,Verve,TRUE
TXN-1746287759-98074,ATM-00001,2025-05-03T16:55:59.914566,withdrawal,100000,TRUE,22,Mastercard,TRUE
TXN-1746254939-42974,ATM-00001,2025-05-03T07:48:59.914566,balance_inquiry,0,TRUE,71,Mastercard,FALSE
